Municipality,Chiefs,Captains,Lieutenants,Sergeants,Patrol officers,Other,Dispatch,Total,Total Per 1K Residents,Patrol Per 1K Residents
Arlington,1,3,6,9,50,6.7,10,85.7,1.88,1.1
Belmont,1,1,4,10,31,4,10,61,2.34,1.19
Brookline,1,5,11,16,106,31.7,15,185.7,3.14,1.79
Cambridge,1,2,0,0,226,99,0,328,2.76,1.9
Lexington,1,2,5,7,36,12,9,72,2.17,1.09
Medford,1,3,9,16,73,7,12,121,2.11,1.27
Melrose,1,0,4,8,30,4,0,47,1.68,1.07
Natick ,1,0,4,10,40,9,10,74,2.05,1.11
Needham,1,0,4,7,35,13,5,65,2.07,1.12
North Andover,1,0,2,8,29,4,9,53,1.7,0.93
Reading,1,1,4,7,31,3,11,58,2.28,1.22
Somerville,1,5,11,19,105,64,14,219,2.69,1.29
Stoneham,1,0,2,7,31,7.8,6,54.8,2.27,1.28
Watertown,1,2,5,6,26,7,9,56,1.56,0.72
Winchester,1,0,12,0,27,31.5,8,79.5,3.49,1.18
